proj_id,proj_lgl_name
P001187,ECON MGMT TA
P001194,CI-IVC PNGTER Rural Land Management
P001207,PRIVATIZATION SUPPORT
P001210,RURAL SAVINGS
P001212,PRIVATE SECTOR DEVEL
P001214,Integrated Health Services Development
P001217,Tana River Primate National Reserve Conservation Project
P001319,Urban Transport Project
P001331,Arid Lands Resource Management Project
P001333,Kenya Sexually Transmitted Infections Project
P001344,KE ENERGY SECTOR REFORM
P001345,WILDLIFE SERVICES PR
P001348,PARASTATAL REFORM TA
P001353,MICRO & SMALL ENTERP
P001354,KE: NARP II
P001362,UNIVERSITIES
P001367,INST. DEVELOPMENT
P001392,EDUC. SECTOR DEVELOPMENT
P001396,HIGHLAND WTR.I
P001401,PRIVATISATION/RESTRUCTURING
P001402,AG POL & CAP BLDG
P001403,Lesotho ROAD REHAB. & MAINT
P001409,Hiland Water 1B Project
P001512,Antananarivo Plain Development
P001520,Health Sector Improvement Project
P001522,IRRIGATION II
P001533,MG-Energy Sec Dev Prj (FY96)
P001537,ENVIRONMENT PROGRAM PHASE II
P001540,FIN SECTOR/APEX
P001549,LIVESTOCK
P001550,Financial Institutions Development Technical Assistance Project
P001552,VOC. EDUCATION
P001555,PRIV SECT DEV & C.B.
P001559,Education Sector Development Project
P001563,Ag. Extension Program Support Project
P001564,Rural Water Supply and Sanitation Pilot
P001568,Second Community Nutrition Project
P001586,LAKE MALAWI
P001636,LOCAL GOVT.
P001646,PHN SECTOR CREDIT
P001648,FISCAL RESTR&DERE
P001657,INSTIT.DEV.II
P001658,FISHERIES DEV.
P001660,AGRIC SERVICES
P001662,MW POWER V
P001664,ENVIRONMENTAL MANAGEMENT
P001666,MW-Road Maintenace & Rehab (FY99)
P001667,MW-National Water Development (BD FY95)
P001668,SOCIAL ACTION FUND
P001670,Secondary Education Project
P001677,Rural Finl Svcs
P001682,MALI HOUSEHOLD ENERGY PROJECT
P001730,ML TRANSPORT SECTOR
P001735,ECONOMIC MGMT
P001738,Mali:IRRIG PROMOTION
P001745,Natural Resource Management Project
P001746,Vocational Education and Training Consolidation Project
P001747,PRIVATE SECTOR ASSIS
P001748,ML-Finance Sec Dev (FY00) -(PDSF)
P001750,ML-Urb Dev & Decentr (FY97)
P001751,Mali:AG. RESEARCH
P001755,Agricultural Trading and Process Promotion Pilot Project
P001756,MINING CAPACITY
P001759,Transfrontier Conservation Areas Pilot and Institutional Strengthening Project
P001765,AGRI.REHAB.&DEV
P001767,Economic Management Reform Operation
P001780,MZ GAS ENGINEERING (ENGY)
P001781,AGR.SER. REHAB.
P001784,INDUSTRIAL ENTERPRISE
P001785,Roads and Bridges Management and Maintenance Project
P001786,Education Sector Strategic Program (ESSP)
P001790,FIRST ROADS AND COASTAL SHIPPING
P001791,LOCAL GOVERNMENT  EN
P001792,Health Sector Recovery
P001796,RURAL REHABILITATION
P001797,CAPACITY BUILDING HUMAN DEV. PROJECT
P001799,MZ-Agr Sec Pep (FY99)
P001804,MZ 2nd Road and Coastal
P001806,MUNICIPAL DEVELOPMENT PROJECT
P001807,Decentralized Planning and Financing Project
P001808,MINERAL RESOURCES MANAGEMENT CAPACITY BUILDING PROJECT
P001810,LEG & PUB SEC. CAPAC
P001811,FINANCE SECTOR CAPACITY
P001857,General Education V Project
P001864,Maur:AGRIC SERVICES
P001872,TECHNICAL/VOCATIONAL
P001874,PUBLIC RESOURCE MGMT
P001875,Mauri:RAINFED NAT RES MGT
P001918,TECH ASST.
P001921,MU-Env Sewerage & Sanitation (FY98)
P001926,PORT DEV. & ENV PROT
P001967,NATURAL RES. MGMT
P001980,Basic Education Sector Project (Hybrid)
P001994,Niger:Pilot Private Irrigation
P001999,Health Sector Development Program
P002074,OYO STATE URBAN (IDF)
P002084,WATER REHAB
P002092,AG. RESEARCH
P002106,Health Systems Fund
P002109,STATE WATER I
P002134,PRIMARY EDUCATION
P002140,AGRIC TECH
P002148,FADAMA
P002156,DEV. COMMUNICATION
P002167,ECONOMIC MANAGEMENT
P002175,LAGOS DRAINAGE & SAN
P002176,STATE ROADS II
P002237,RW-Health & Population (FY91)
P002238,RW TRANSPORT SECTOR
P002241,Rwanda Energy Sector Rehabilitation and Urban Waste Management
P002242,Rwa-Education Sect. Cr
P002243,AGRIC RESEARCH II
P002245,SECOND  COMMUNICATIONS
P002261,RW - FOOD SECURITY
P002262,PRIVATE SECTOR
P002327,SMALL RURAL OPS. II
P002342,TRANSPORT SEC. SECAL
P002346,SN-Water Sector (BD FY95)
P002357,HUMAN RES DEV'T II
P002365,URB DEVT & DECEN PRO
P002366,Second Transport Sector Project
P002367,Agricultural Services & Producer Organizations Project
P002369,Integrated Health Sector Development Project
P002373,Higher Education Project
P002376,PRIV.SCTR.CAP.BLDG
P002383,ENV/TRANSPORT
P002402,AGRICULTURE SECTOR SUPPORT PROJECT
P002407,ROADS REHAB & MAINT
P002411,SL POWER REHAB
P002420,SL-Transport Sector SIM (FY96)
P002422,Integrated Health Sector Investment Project
P002427,LKD PUBLIC SECTOR MANAGEMENT
P002428,SL-URBAN WATER SUPPLY
P002433,FREETOWN INFRASTRUCTURE REHABILITATION PROJECT
P002535,AGRIC SECTOR
P002542,HEALTH & EDUCATION
P002669,Swaziland Urban Development Project
P002753,TZ-Nat Ext Phase 2 SIL (FY97)
P002756,TZ-POWER VI
P002757,TZ RAILWAYS RESTRUCTURI
P002758,Urban Sector Rehabilitation Project
P002770,TZ-Roads 2 (FY94)
P002774,HEALTH & NUTRITION
P002780,TELECOM III
P002783,ROADS I
P002784,PORTS MODERNIZATION
P002785,FOREST RESOURCES MAN
P002786,PETROLEUM SECTOR REHABILITATION PROJECT
P002788,PRIV. PUB. SECT. MGT
P002789,Human Resource Development I
P002797,TZ-Songo Gas Dev & Power Gen (FY02)
P002801,ASMP
P002804,Tanzania TARP II
P002812,MINERAL SECTOR DEV.
P002817,FIN. & LEGAL MANAGEMENT UPGRADING
P002821,Tanzania Structural Adjustment Credit
P002822,Programmatic Structural Adjustment Credit  CR.no.3379-TA
P002863,POWER REHABILITATION
P002865,LOME URBAN DEVELOPMENT
P002875,ROAD TRANSPORT PROJECT
P002889,EDUCATION REHABILITATION PROJECT
P002891,TG:NAT.AGRICULTURE SERV
P002893,Bwindi Forest & Mgahinga Gorilla NP Cons
P002923,TRANSPORT REHABILITATION PROJECT
P002929,UG POWER III
P002933,URBAN I
P002938,AGRIC. RES & TRG. PHASE I
P002941,Institutional Capacity Building for Protected Areas Management and Sustainable Use Project
P002952,UG-N Uganda Soc Action Fund (FY03)
P002953,PRIMARY EDUC. & TEAC
P002957,UG-Small Towns Water (BD FY94)
P002963,Sexually Transmitted Infections Project
P002968,ENTERPRISE DEVELOPMENT
P002970,UG-Roads Dev APL (FY99)
P002971,District Health Project
P002972,UG EDUC SECTOR ADJ CRED
P002975,ECON & FINANCIAL MAN
P002976,INST. CAPACITY BLDG
P002977,Cotton Subsector Development Project
P002978,Environmental Management and Capacity Building
P002984,UG-Power SIL 4  (FY02)
P002987,SAC III
P002992,Local Government Development Program
P003210,SOCIAL RECOVERY II
P003218,AGRICULTURAL SECTOR INVESTMENT PROGRAM
P003221,MKTG. & PROCESS.
P003227,ZAMBIA RAILWAYS RESTRUCTURING PROJECT
P003236,ROAD SEC. INVESTMENT PROG. SUPPORT PROJ.
P003239,HEALTH SECTOR
P003241,URBAN RESTRCT &WATER
P003248,Zambia National Response to HIV/AIDS (ZANARA)
P003249,Basic Education Subsector Investment Program
P003251,PIRC TECHNICAL ASSIS
P003252,PETROLEUM REHAB
P003253,Environmental Support Program
P003258,FIN. & LEGAL MANAGEMENT UPGRADING
P003261,ZW-GEF Biodiversity Conserv SIL (FY98)
P003286,RAILWAYS II
P003294,URBAN II
P003309,POWER III
P003318,PARK REHAB & CONSERV
P003331,AGR SRVC & MGMT
P003333,STI
P003402,NATURE RESERVES MANAGEMENT PROJECT
P003404,SICHUAN GAS DEV. CON
P003409,CN THIRD ODS PHASE OUT
P003473,ZHEJIANG MULTICITIES DEVELOPMENT PROJECT
P003493,Inland Waterways
P003502,CN-RURAL HEALTH MANPOWER (HLTH4)
P003503,ZOUXIAN THERMAL POWE
P003504,HEBEI/HENAN NATIONAL
P003507,Ertan II Hydroelectric Project
P003509,CHANGCHUN WAT SUPP &
P003512,SHANGHAI PORT REST.
P003518,GUANGDONG PROV. TRANSPORT
P003531,HENAN (QINB.)THERMAL
P003533,TIANJIN IND. II
P003534,ZHEJIANG PROVINCIAL HIGHWAY PROJECT
P003539,CN-Sustainable Coastal Resources Dev.
P003540,Loess Plateau Watershed Rehabilitation Project
P003544,CN-EDUC DEV IN POOR PRO
P003557,FOREST RESOURCE DEV
P003559,AGRIC. SUPPORT SERVI
P003561,SICHUAN ADP
P003562,XIAOLANGDI MULTIPURPOSE
P003563,ANIMAL FEED
P003564,BEIJING ENVIRONMENT
P003565,SHANGHAI MPT I
P003566,CN-BASIC HEALTH (HLTH8)
P003567,CN-EFFECTIVE TEACHING S
P003568,Tianjin Urban Development and Environment Project
P003569,Shanghai-Zhejiang Hwy
P003570,Railway VI
P003571,CN-7TH RAILWAYS
P003580,SOUTHERN JIANGSU ENVIRONMENTAL PROTECTION PROJECT
P003581,HENAN PROV. TRANSPORT
P003585,SHENYANG IND. REFORM
P003586,SHANGHAI ENVIRONMENT PROJECT
P003589,Disease Prevention (Health 7)
P003590,Qinba Mountains Poverty Reduction Project
P003591,CN - STATE FARMS COMMERCI
P003592,REF. INST'L.& PREINV
P003593,Songliao Plain Agricultural Development Project
P003594,CN-Gansu Hexi Corridor
P003595,SECOND RED SOILS AREA DEV. PROJECT
P003596,Yangtze Basin Water Resources Project
P003597,TAIHU BASIN FLOOD CONTROL PROJECT
P003598,LIAONING ENVIRONMENT PROJECT
P003599,YUNNAN ENVIRONMENT PROJECT
P003600,CN-TECHNOLOGY DEVELOPMENT
P003602,HUBEI URBAN ENVIRONMENT PROJECT
P003603,ENTERPRISE HOUSING AND SOCIAL SECURITY REFORM PROJECT
P003606,CN-Energy Conservation
P003609,SICHUAN GAS DEV & CONSERVATION
P003612,XINJIANG HIGHWAY PROJECT
P003614,CN-Guangzhou City Transport
P003616,CN-Tianhuangping Hydroelectric Project
P003619,CN-2nd Inland Waterways
P003622,SHANGHAI MTP II
P003623,FINANCIAL SECTOR T.A
P003624,CN-INFECTIOUS DISEASES (HLTH5)
P003626,CN-FUJIAN PROV HWY
P003627,Grain Distribution and Marketing Project
P003632,ENVIRONMENTAL TECHNICAL ASSISTANCE PROJECT
P003633,TELECOMMUNICATIONS
P003634,CN-MATERNAL CHILD HEALT(HLTH6)
P003635,Vocational Education Reform Project
P003636,CN-BASIC EDUC IN POOR & MINORITY AREA II
P003637,NATIONAL RURAL WATER SUPPLY PROJECT
P003638,SEEDS SECTOR COMMERCIALIZATION PROJECT
P003639,Southwest Poverty Reduction Project
P003641,CN-Yangzhou Thermal Power
P003642,CN-ZHEJIANG POWER DEVT
P003643,CN-Second Xinjiang Highway Project
P003644,CN - XIAOLANGDI RESETTLEMENT
P003646,Chongqing Industrial Pollution Control and Reform Project
P003647,China Economic Law Reform -LEGEA
P003648,Second Shanghai Sewerage Project
P003649,Shanxi Poverty Alleviation Project
P003650,China Tuoketuo Thermal Power Project
P003652,CN-2nd Shaanxi Prov Hwy
P003653,China Container Transport Project
P003654,CN-Nat Hwy2/Hunan-Guangdong
P003693,ROADS UPGRADING II
P003699,KERINCI SEBLAT ICDP
P003700,Solar Home Systems
P003701,Montreal Protocol Ozone Depleting Substances Phaseout Investment Project
P003860,TREECROPS SMALLHOLDE
P003890,Semarang Surakarta Urban Development Project
P003910,SUMATERA AND KALIMANTAN POWER
P003914,THIRD COMMUNITY HEALTH AND NUTRITION PROJECT
P003916,SURALAYA THERMAL POWER
P003922,SULAWESI/IRIAN JAYA
P003928,AGRICULTURAL FINANCI
P003937,INTEGRATED SWAMPS
P003940,PRIMARY EDUC QUALITY IMPROVE
P003945,ID-2nd Highway Sector Investment Project
P003951,KALIMANTAN URBAN DEVELOPMENT PROJECT
P003954,JAVA IRRIGATION IMPROVEMENT AND WATER RESOURCES MANAGEMENT  PROJECT
P003960,GAS UTILIZATION
P003965,Fourth Health Project:  Improving Equity and Quality of Care
P003966,ID-NON-FORMAL EDUC III
P003967,ID-FIFTH HEALTH PROJECT
P003968,ID-BOOK & READING DEVELOPMENT
P003969,ID-PRIMARY SCHOOL TEACHERS
P003972,Second Agricultural Research Management Project
P003977,THIRD JABOTABEK URBAN DEVELOPMENT PROJECT
P003978,ID-IND'L TECHNOLOGY DEV
P003979,RURAL ELECT II
P003984,ID - LAND ADMINISTRATION
P003985,WTRSHED CONSERVATION
P003987,ID-CENTRAL INDONESIA SEC. EDU.
P003988,ID-PHRD II
P003990,Indonesia - WSSLIC I
P003993,SUMATRA REGION ROADS PROJECT
P003997,ID-TELECOM IV
P003998,SURABAYA URBAN DEVELOPMENT PROJECT
P003999,GROUNDWATER DEVT.
P004001,Indonesia - Telecommunications Sector Modernization
P004003,ID-SECONDARY SCHOOL TEACHER DEVELOPMENT
P004004,ID-Development of Undergrad. Educ  (DUE)
P004006,E.INDONESIA KABUPATE
P004007,POWER (CIRATA II)
P004008,Nusa Tenggara Agricultural Area Development Project
P004009,INTEGRATED PEST MGMT
P004010,ID-DAM SAFETY Project
P004011,ID - SULAWESI AGRI AREA
P004014,KERINCI SEBLAT ICDP
P004016,Strategic Urban Roads Infrastructure project
P004017,ID-UNIV RESEARCH FOR GRAD EDUC (URGE)
P004019,ACCOUNTANCY DEV II
P004020,KABUPATEN ROADS V
P004021,Second Power Transmission and Distribution Project
P004026,Railway Efficiency Project
P004030,Road Rehabilitation Project
P004032,PHNOM PEHN POWER REH
P004033,KH-AGRICULTURAL PRODUCTIVITY IMPROVEMENT
P004034,Disease Control and Health Development Project
P004168,KR-SCIENCE & TECH EDUC SECT
P004169,Kwangju and Seoul Sewerage Project
P004172,FINCL INTERMEDIATION
P004173,Ports Development and Environment
P004175,KR-PUSAN URB TRANSPORT
P004176,LA-WILDLIFE & PROTECTED
P004196,FOREST MANAGEMENT & CONSERVATION
P004197,PROV'L GRID INTEGRAT
P004200,Health System Reform and Malaria Control Project
P004201,LA-HWY Improv.II
P004203,LA-EDUCATION DEVELOPMENT
P004207,LA-Luang Namtha
P004208,LA-LAND TITLING
P004210,LA-Third Highway Improvement Project
P004212,MY OZONE DEPLETING SUBSTANCES PHASEOUT PROJECT
P004213,ODS Recycling Project
P004309,MY-POLYTECHNIC DEVT
P004312,MY-HEALTH
P004325,IND'L RESTRUCT.(RE-C
P004337,EDUCATION
P004342,MN-Transport Rehab.
P004345,PNG-FORESTRY AND CONSERVATION PROJ.
P004387,PG-PUBLIC SECTOR TRAINING
P004389,ORO SMLHLDR OIL PALM
P004391,PETROLEUM EXPLORATION AND DEVELOPMENT TECHNICAL ASSISTANCE PROJECT
P004392,PG-EDUCATION DEVELOPMENT
P004397,Road Maintenance and Rehabilitation Project
P004398,PNG-FORESTRY AND CONSERVATION PROJ.
P004399,PG-POPULATION AND FAMILY PLANNING
P004403,CONS. OF PRIORITY PR
P004404,LEYTE-LUZON GEOTHER.
P004406,PH ODS INVESTMENT PROJECT
P004538,PH-SECOND VOCATIONAL TR
P004552,COCONUT FARMS DEVT.
P004558,Environment and Natural Resources Sector
P004566,EARLY CHILDHOOD DEVELOPMENT
P004567,PH-WOMENS HEALTH & SAFE MOTHERHOOD
P004568,PH-URBAN HEALTH & NUTRITION
P004571,TRANSMISSION GRID REINFORCEMENT PROJECT
P004572,COMMUNAL IRRIG. II
P004576,WATER DISTRICTS DEVELOPMENT PROJECT
P004584,LEYTE CEBU GEOTHERMAL
P004589,IRRIG OPER SUPP II
P004592,Third Municipal Development Project
P004595,PH - COMMUNITY BASED RESO
P004597,Highway Management
P004599,Philippines Tax Computerization Project.
P004602,THIRD ELEMENTARY EDUCATION
P004607,LEYTE LUZON GEOTHERMAL
P004609,SUBIC BAY FREEPORT
P004611,MANILA SECOND SEWERAGE PROJECT
P004613,WATER RESOURCES DEVELOPMENT PROJECT
P004614,RURAL FINANCE II
P004629,SB-EDUCATION III
P004647,GEF-ELECTRICITY EGY
P004649,TH OZONE DEPLETING SUBS
P004791,TH-SEC EDUC QUALITY IMPROV
P004793,TH-TECHNICAL EDUCATION
P004796,DISTRIBUTION SYSTEM AND ENERGY EFFICIENCY
P004799,LAM TAKHONG PUMP STORAGE PROJECT
P004800,TH-Highways V
P004801,DISTRIBUT.SYSTEM REI
P004802,CLEAN FUELS & EA QUA
P004803,TH - LAND TITLING III
P004805,TH-UNIVERSITIES SCIENCE & ENG. EDUC
P004823,VU-SECOND EDUCATION PROJECT
P004828,VN-HIGHER EDUC.
P004830,WATER SUPPLY PROJECT
P004832,VN-Highway Rehab
P004833,Urban Transport Improvement Project
P004834,IRRIGATION REHABILITATION PROJECT
P004835,VN-PRIMARY EDUCATION
P004836,Power Sector Rehabilitation & Expansion
P004837,AGRIC REHABILITATION
P004838,National Health Support
P004839,Forest Protection and Rural Development
P004841,VN-POPULATION & FAMILY HEALTH
P004842,VN-2nd Hwy Rehab Project
P004843,Inland Waterways and Port Rehabilitation Project
P004844,VN-AGRIC.  DIVERSIFICATION
P004845,VN - MEKONG DELTA WATER
P004847,RURAL FINANCE
P004850,VIETNAM - POVERTY REDUC.SUPPORT CREDIT
P004870,EL KALA NATIONAL PARK
P004871,MEDITERRANEAN POLLUTION CONTRO
P004907,DZ-HIGHWAYS VI
P004954,BASIC & SECONDARY EDUCATION SUPPORT PROJECT
P004960,IND.POLLUTION CTRL.
P004964,ALG-CADASTRE
P004974,DZ-WATER SUPPLY AND SEWERAGE
P004978,SOCIAL SAFETY I
P004981,EG-RED SEA COASTAL
P005109,KUREIMAT POWER PROJE
P005111,EG-GAS INVESTMENT
P005146,NATIONAL DRAINAGE
P005152,SCHISTOSOMIASIS CONTROL
P005153,MATRUH RESOURCE MANAGEMENT
P005157,AGRICULTURAL MODERNIZATION
P005161,BASIC EDUCATION IMPROVEMENT PROJECT
P005163,Egypt Population Project
P005168,PVT SEC TOURISM INF & ENV
P005169,Egypt Education Enhancement Project
P005173,EG Irrigation Improvement
P005212,IRRIGATION IMPROVEMENT
P005213,SISTAN FLOOD CTRL
P005215,POWER SECTOR EFFICIENCY
P005216,IR-TEHRAN DRAINAGE
P005222,HEALTH AND FAMILY PL
P005237,GULF OF AQABA EAP
P005284,TRANSPORT III
P005307,HUMAN RESOURCES DEV.SECTOR INVESTMENT II
P005319,HEALTH II
P005321,TA FOR AGRICULTURE
P005322,Jordan Telecommunications Project
P005323,JO-HOUSING FINANCE/URBAN
P005336,EMERGENCY RECOVERY
P005340,LB-TA FOR REVENUE ENHAN
P005342,COASTAL POLLUTION CONTROL
P005344,LB-IRRIGATION
P005345,SOLID WASTE/ENVIRONMENT
P005347,MA-MEDITERRANEAN POLLUTION CONTRO
P005435,WATER SUPPLY V
P005462,SECOND LSI IMPROVEME
P005489,MA-SECONDARY ROADS
P005499,IRRIGATED AREAS AGRICULTURE SERVICES
P005501,Social Priorities Programme (Education)
P005503,Morocco Second Sewerage and Water Reuse Project
P005504,ENVIRONMENTAL MANAGEMENT
P005514,LAND DEVELOPMENT
P005516,MA-ASSET MANAGEMENT REFORM
P005517,MA-MUNICIPAL FINANCE I
P005519,LAKHDAR WATERSHED MG
P005521,MA-WATER RESOURCES MGMT.
P005523,MUNICIPAL FINANCE II
P005524,FES MEDINA REHABILITATION PROJECT
P005525,MA-HEALTH MANAGEMENT
P005588,MEDITERRANEAN POLLUTION CONTRO
P005589,TN-SOLAR WATER HEATING
P005591,TN-Ozone Depleting Substance
P005680,TN-WATER SUPPLY AND SEWERAGE
P005687,MUNICIPAL SECTOR INV
P005720,TN-RURAL FINANCE
P005721,TN-AGRICULTURAL SEC INV
P005725,TN-SECOND FORESTRY DEVELOPMENT
P005726,Higher Education Restructuring Project
P005731,TN-GREATER TUNIS SEWERAGE
P005733,NORTHWEST MOUNTAINOUS AREAS DEVELOPMENT PROJECT
P005736,TN-NATURAL RESOURCE MGMT
P005738,HOSPITAL RESTRUCTURING REFORM SUPPORT PROJECT
P005741,Higher Education Reform Support
P005743,Secondary Education Support Project
P005745,TN-2ND EMPL. & TRG.
P005746,TN-HEALTH SECTOR LOAN
P005748,Tunisia Private Investment Credit Project
P005749,TUNISIA - RURAL ROADS PROJECT
P005750,AGRICULTURAL SUPPORT SERVICES PROJECT
P005806,RY-MULTIMODE TRANSPORT
P005810,NAT.AGRIC.SECT.MGMT
P005835,SECONDARY TEACHER TR
P005836,LAND & WATER CONSERV
P005878,RY-POWER III
P005884,RY-TARIM WATER SUPPLY
P005892,FISHERIES IV
P005902,SOUTHERN GOVERNORATES AGRICULTURAL PRIVATIZATION
P005904,BASIC EDUCATION
P005906,YEMEN RURAL WATER SUPPLY AND SANITATION PROJECT
P005907,RY Sana'a WS/Sanitation
P005910,FAMILY HEALTH
P005911,RY Education Sector
P005912,RY Vocational Training
P005920,Reduction of Ozone Project (Montreal Protocol)
P005968,SEGBA V
P005977,WTR SUPPLY II
P005980,AR PROV ROADS
P005988,CAPITAL MKT DEVT
P005992,AR-SECONDARY ED 1
P006003,RD MAINT & REHAB SCT
P006006,AR P.RFM(TUCUMAN)
P006010,Provincial Agricultural Development Project - Loan 4150
P006018,AR PROV DEVT II
P006025,AR-MATERNAL & CHILD HLTH & NUTRITION
P006030,AR-Prov. Health Sector Development
P006036,YACYRETA II
P006040,Forestry Development Project
P006041,Small Farmer Development Project
P006043,AR RENEW.ENERGY R.MKTS
P006046,AR WATER SCTR RFRM
P006050,Pollution Management Project
P006052,AR FLOOD PROTECTION
P006055,MINING SECTOR DEVELOPMENT T.A.
P006057,AR-Decentralization & Improvement  of Secondary Educ. & Polymodal Education Development Project
P006058,AR: Fourth Social Protection Project
P006059,AR-Maternal and Child Health and Nutrition 2 (PROMIN)
P006060,AR MUNIC DEVT II
P006062,CAPITAL MKT TA
P006089,BB- HUMAN RESOURCES
P006101,BZ- PRIMARY EDU DEV
P006103,POWER DEV
P006173,CAPITALIZATION PROG
P006180,RD MAINT
P006181,BO- EDUCATION REFORM
P006186,"Environment, Industry & Mining Project"
P006190,Municipal Sector Development Project
P006191,POWER SCTR REF TA &
P006196,BO- INTEGRATED CHILD DEV
P006197,National Land Administration Project
P006202,Rural Communities Development Project
P006204,BO- EDUCATION QUALITY
P006205,Judicial Reform Project
P006206,RURAL WATER AND SANITATION
P006210,National Biodiversity Project - PROBIO (GEF)
P006213,ODS Phase-Out Program (Montreal Protocol)
P006368,BR WATER SECTOR MODERNIZATION PROJECT
P006370,Northeast Irrigation Jaiba
P006378,STATE HWY MGMT
P006414,NTRL GAS DIST
P006436,Ceara Urban Development & Water Resource
P006449,Ceara Integrated Water Resources Management Project
P006452,BR NE BASIC EDUC III
